iter	Passed	Remaining
0	4	4720
1	12	6142
2	16	5610
3	20	5204
4	25	5074
5	29	4859
6	33	4804
7	38	4726
8	43	4775
9	47	4711
10	51	4609
11	55	4583
12	60	4557
13	64	4528
14	68	4483
15	72	4449
16	77	4476
17	81	4463
18	86	4446
19	91	4471
20	95	4437
21	99	4423
22	103	4394
23	107	4365
24	111	4341
25	116	4352
26	120	4342
27	124	4334
28	129	4322
29	133	4308
30	137	4288
31	141	4281
32	145	4277
33	150	4277
34	155	4275
35	159	4263
36	163	4258
37	167	4248
38	172	4248
39	176	4225
40	180	4223
41	185	4220
42	189	4213
43	193	4204
44	199	4223
45	203	4212
46	208	4225
47	212	4213
48	217	4215
49	220	4197
50	225	4201
51	229	4187
52	234	4184
53	238	4175
54	242	4158
55	245	4144
56	249	4133
57	254	4126
58	258	4117
59	262	4118
60	267	4111
61	271	4109
62	275	4102
63	279	4088
64	284	4087
65	288	4080
66	292	4078
67	297	4078
68	301	4069
69	305	4064
70	310	4066
71	314	4054
72	318	4048
73	322	4040
74	326	4029
75	330	4021
76	335	4016
77	339	4013
78	344	4015
79	351	4037
80	357	4059
81	364	4077
82	371	4100
83	376	4105
84	380	4100
85	385	4097
86	389	4089
87	393	4080
88	398	4076
89	402	4066
90	406	4056
91	410	4047
92	413	4037
93	418	4028
94	421	4017
95	425	4006
96	429	3995
97	433	3986
98	437	3977
99	441	3971
100	445	3966
101	450	3962
102	454	3956
103	458	3951
104	462	3943
105	466	3932
106	469	3921
107	473	3911
108	478	3909
109	482	3899
110	485	3892
111	490	3891
112	495	3885
113	498	3877
114	503	3874
115	507	3869
116	512	3866
117	517	3867
118	521	3859
119	525	3855
120	530	3851
121	533	3842
122	537	3832
123	541	3826
124	545	3821
125	549	3812
126	553	3806
127	557	3800
128	562	3796
129	566	3792
130	570	3783
131	574	3777
132	578	3769
133	582	3767
134	586	3758
135	590	3750
136	595	3749
137	599	3743
138	603	3737
139	608	3734
140	612	3730
141	616	3723
142	619	3715
143	623	3708
144	627	3701
145	631	3696
146	635	3688
147	639	3680
148	643	3675
149	647	3669
150	651	3662
151	655	3658
152	660	3654
153	663	3646
154	667	3639
155	671	3634
156	675	3627
157	679	3622
158	683	3615
159	687	3608
160	691	3602
161	695	3598
162	700	3595
163	703	3587
164	707	3580
165	711	3575
166	715	3568
167	719	3564
168	723	3558
169	727	3553
170	731	3547
171	735	3541
172	739	3535
173	744	3532
174	747	3525
175	751	3519
176	755	3514
177	760	3510
178	764	3504
179	767	3497
180	771	3491
181	776	3488
182	780	3483
183	784	3478
184	787	3471
185	792	3466
186	796	3460
187	799	3454
188	804	3452
189	808	3447
190	813	3444
191	817	3440
192	821	3436
193	826	3434
194	830	3428
195	834	3425
196	839	3421
197	843	3415
198	846	3408
199	850	3403
200	855	3401
201	859	3396
202	863	3390
203	868	3389
204	873	3387
205	878	3385
206	882	3379
207	886	3374
208	890	3371
209	895	3368
210	899	3364
211	904	3360
212	908	3356
213	911	3349
214	915	3344
215	920	3339
216	923	3333
217	928	3329
218	932	3323
219	935	3318
220	940	3313
221	944	3308
222	948	3303
223	951	3297
224	955	3291
225	959	3285
226	963	3279
227	967	3274
228	970	3268
229	975	3264
230	978	3259
231	983	3254
232	987	3249
233	990	3243
234	994	3238
235	999	3235
236	1004	3232
237	1008	3228
238	1012	3225
239	1016	3219
240	1020	3213
241	1024	3208
242	1028	3203
243	1032	3199
244	1036	3194
245	1040	3189
246	1044	3184
247	1048	3180
248	1053	3176
249	1056	3170
250	1060	3165
251	1064	3159
252	1068	3154
253	1072	3150
254	1076	3144
255	1080	3139
256	1084	3134
257	1088	3129
258	1092	3125
259	1097	3122
260	1101	3117
261	1105	3113
262	1109	3108
263	1113	3105
264	1118	3101
265	1122	3096
266	1126	3092
267	1130	3088
268	1135	3084
269	1139	3079
270	1142	3074
271	1147	3070
272	1150	3064
273	1154	3059
274	1158	3054
275	1162	3048
276	1166	3044
277	1170	3039
278	1174	3034
279	1178	3031
280	1184	3030
281	1188	3025
282	1192	3021
283	1234	3112
284	1239	3109
285	1248	3116
286	1252	3112
287	1256	3106
288	1260	3101
289	1264	3096
290	1268	3091
291	1272	3085
292	1276	3079
293	1279	3073
294	1283	3067
295	1287	3062
296	1291	3057
297	1295	3052
298	1300	3048
299	1304	3043
300	1308	3038
301	1311	3032
302	1315	3027
303	1320	3023
304	1324	3018
305	1328	3013
306	1332	3007
307	1336	3002
308	1340	2998
309	1344	2993
310	1349	2989
311	1352	2983
312	1356	2977
313	1360	2972
314	1365	2968
315	1369	2963
316	1373	2958
317	1376	2952
318	1381	2948
319	1384	2943
320	1389	2939
321	1394	2935
322	1398	2930
323	1401	2924
324	1405	2919
325	1409	2914
326	1413	2909
327	1417	2904
328	1421	2899
329	1425	2893
330	1428	2888
331	1432	2883
332	1436	2877
333	1440	2871
334	1444	2867
335	1448	2862
336	1452	2857
337	1456	2853
338	1460	2847
339	1464	2843
340	1468	2838
341	1472	2833
342	1476	2828
343	1480	2822
344	1484	2817
345	1488	2813
346	1493	2810
347	1498	2806
348	1501	2801
349	1505	2795
350	1509	2791
351	1513	2785
352	1517	2781
353	1521	2776
354	1525	2771
355	1529	2767
356	1533	2761
357	1537	2756
358	1540	2750
359	1544	2746
360	1548	2741
361	1552	2736
