token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
9qY7dAqzCYRXqHgNKf19QNdRcDCMBwkJ7eJostvQBs4Y,8.301562703425828e-07,4.741020553276619e-08,127,22269701359,3855037,110,1.2684831801409258e-08,3845037,1.2684831801409258e-08,3845037,1020
FSt515tKVNdTzL3JPDMfABMeGQ3hwjWMUb11hAV7ErYU,1.6029826702476778e-05,1.5999197402167275e-05,277,4474124658,-15998118441,49,-2.057988723831742e-05,-15998236537,1.5999115279938726e-05,-15998236537,2331
9mgWJpcYKaxDWg9EHnUnUo4kZ1E2xoRbeyfTtfYHUoxE,0.29490504635184045,0.291704400605537,925,544653233070,541704484339,925,1e-08,100000000,0.29046815532386544,540553646979,132
BK5RHrDheWTXb6rj63BrgDRScTVwWFFBsYqQGGVq1tfR,5.6928274120372514e-08,4.4447030933227626e-08,118,440942181769,6831737,84,1.8303658323828716e-08,6790271,1.8303658323828716e-08,6790271,994
DihmTM1vWaqkmwgWjUeivoQgd2XXY2Wv6cqi9MJqhm1D,4.2210645411952565e-05,3.0707960885190754e-05,179,103605921406,88405495052,179,3.5684973057845343e-06,30000000000,2.7682713747840226e-05,83923062310,363
HxJayRfwwZ28EVhwYnPhtCSr1iaA5J5aacqu7Y2UHCNp,6.88628675648451e-05,4.8605174338019185e-08,40,1052025643659,312918,40,2.000649389757736e-18,2,2.000649389757736e-18,2,1483
ewjZzzW2hVM7mHgdVkXzEgu8Gj5GXeMwEeHL8MWpump,0.0006311072132086058,6.199562576793899e-05,87,101654491038,32270381283,87,5.584138127333647e-05,30611109399,5.584138127333647e-05,30611109399,75
3BYrEufVUnGpJJM9XWuPytRX67qBPXuxgHpzKz2wfodJ,5.219857967398535e-05,3.9780141772711295e-09,74,971769645248,89675,74,2.0005306509040217e-18,2,2.0005306509040217e-18,2,1016
7Fc3q3FKFjoZxtHBeLdU62Cc32dZsSw8wzfEVrNTpump,0.0008119386521221609,0.00045130595752931435,832,116305078888,87857523211,832,0.0002625099807139562,66563485598,0.0002625099807139562,66563485598,53
AYzB8awD8ksZTQhrhXtuuLcYuQRTQbTnjGk1PCJtpump,0.000627181287427654,0.00043122795600095175,367,101482092279,84274646415,367,0.0003175880826676504,72069815144,0.000345227571754172,75364824440,159
BPVRr7MWtsqJXGSbWZUK2dh5KMwRVT6zpG9wH7gGq147,0.3698558551484472,0.3698484740403059,1744,610487333710,610481249643,1744,1e-08,100000000,0.3698484740403059,610481249643,31
DssDbhSWY5GGzNM7gW8wnKJUre59f5ChjvJSLaLifXAk,2.0427603451889342,2.011585806611077,1728,1572020590868,1560085877354,1728,1.2e-08,120000000,2.011585033934615,1560085577354,70
5S8bmHsuT5gKtUvQSvt4fA5S7HRLDDMF7sh3s9tuJmUn,0.008995007231662454,1.1797133285732104e-07,640,386067625849,9076,640,7.369150237223048e-10,715,7.369150237223048e-10,715,827
5eJZDiaqqJeD3Qp53Qmu8NzdiqP3i5SdpweptgUjzFGw,0.7713754063551485,0.7618601148947327,1922,1246354807083,1238676668964,1922,2e-08,200000000,0.7618601148947327,1238676668964,508
9Z8xxJoy3WRSRkQ9WWPdhcayo5yWGt4NYacHFmSfpump,0.0005508104601738861,0.0002739885235183233,1510,97126046514,68804771605,1510,3.250581399597716e-05,23355346917,0.00022162254733959597,61826278752,75
9qa1pSD3QkU5GguR52WPiARF2g1DjXnavtFAwdDhD7qN,3.856177843891977e-09,1.775377406726093e-09,37,1702533614,1156923844,37,1.3603686733e-09,1010100000,1.775377406726093e-09,1156923844,783
9CgZL7zmJWKkHxaU8X3VhfvSARNLSTvyLrxXd3Wipump,0.0008880816799255829,9.603674245373743e-05,2270,124038645418,41661681226,2270,7.110917680197799e-05,35676561765,7.110917680197799e-05,35676561765,44
EM1vnJ6SrV6rHcCtaekTs19FEECrMrPSruruiyUppump,409.2846860200736,1.3865370885139056e-08,2444,369713913182,202,379,4.314071645872258e-13,1,1.3865370885139056e-08,1,951
xJrA2fmxaf7Mza7oXnW5j6KymG61tMYDbydRUvmpump,5.580910406276675e-06,5.580910406276675e-06,206,840273809172,840273809172,206,2.953117448042533e-06,611000000000,,,99
7FYN7QE6jyPx6SeMLXrP1tkA8tZ1GKzMqHx1VgoME69E,1.1132731892369914,3.175698781701865e-07,181,340583036566,185668344,181,2.555972088502024e-07,166548344,2.555972088502024e-07,166548344,2442
7biqseW24UkeUawNqsNCCRNCQeS1oGr7UXo9uAK5USKB,0.0019373693982856592,0.0003830995252536727,1753,181727540250,82897174107,1753,8.10422526454321e-05,37619161223,8.10422526454321e-05,37619161223,27
7j56avs1map2hgffmLjAtTuLhoXnUALV3r6yLsfpump,6.537549944011594e-06,6.537549944011594e-06,110,736003838837,736003838837,110,1.933301111648139e-06,400000000000,,,259
CNWjnoNQeDm8rdmmumBszr85LSLN7assf6HnZ48fkmUB,1.5188936818903931e-05,1.500994365254644e-05,115,2185090000,-14998720793,6,-1.7223098358806577e-05,-14998720822,1.4999586085111937e-05,-14998720822,1571
FpeRWnQdrW9tZ5eTgd9txuMUsBM5oktr5jmsQZnJWsqb,0.0003042977078113339,1.935033025458692e-07,1570,270939061925,2310,1029,6.1611574768102885e-12,13,6.1611574768102885e-12,13,1194
HZ65icB4RHEj5jUady48q1dU5swoMncKCaMiniJKSkBx,0.0032204973616435572,0.0031791231549932533,1518,1698209858470,1688793253686,1518,1.1250000000001124e-11,100000000,0.0030088901812912383,1641764840214,52
aucLqBtBws4SZk8gERqum5AqMGCgEnufjZ5vjfdpump,4.71287871177758e-06,1.566149332325861e-06,269,773804054369,12145516,250,4.87011628134754e-09,11935516,4.87011628134754e-09,11935516,109
39MGB3yEW2bANJofAqGPGvSmrphLGkfv35PLugEtpump,0.02179292234992217,1.6499778363554097e-05,1163,603521892886,8580,1163,2.2863269116994667e-13,1,2.2863269116994667e-13,1,715
ESeWh5jzUjDNNDtyiSdrv2VZQ9mgqhcQN5t2ABMgHUVQ,3.0912475125813154e-08,1.6124649708221993e-08,62,11212705854,8104109527,62,6.1972775345617285e-09,5009900000,1.404024144438416e-08,7560998868,649
FBuyGA3vhcKP9LkLueAiFqanMoukpW54WqbSUdQLpump,0.0011551219939936067,7.760602807542397e-05,663,138830910228,36512713897,663,7.760602807542397e-05,36512713897,7.760602807542397e-05,36512713897,167
Fb7f7TKmJa2XGDzLusNkMNDr7PLy8CYnUHfqegzbMmMa,0.0228097324912292,1.3111945421099038e-07,88,479124860402,728263,88,1e-09,716751,1.2477348317770318e-07,716751,1699
BsTTNAVLdit4hV1ptZnWseBHLwobYBNyG2bNjNxTpump,0.0004694764387980797,0.00015719909187009924,609,88441010585,51315340323,609,8.971948020512874e-05,38531807055,0.00012955481023599346,46554425731,73
